content,is_fraud
"URGENT! Votre colis DHL est retenu en douane. Payez 2€ maintenant: http://bit.ly/abc123",1
"Votre colis Chronopost est bloqué. Réglez 1.99€ ici: https://t.co/xyz",1
"Colissimo: paquet en attente. Frais 2.50€: bit.ly/pay-colis",1
"La Poste: livraison échouée. Reprogrammez: laposte-delivery.fr/reschedule",1
"UPS: votre colis nécessite 3€ pour livraison: http://ups-fr.click/pay",1
"Amazon: commande suspendue. Cliquez pour valider: amaz0n-fr.shop/verify",1
"FedEx: adresse incorrecte. Corrigez: https://fedex-update.info",1
"Mondial Relay: colis perdu. Réclamez: mondial-relay-claim.net",1
"Votre livraison Chronopost attend. Frais de 1.99€ à payer",1
"Votre colis DHL bloqué en douane. Payez 3€ de frais",1
"Livraison UPS impossible. Payez frais stockage 3€",1
"Colissimo: échec livraison. Reprogrammez sur colissimo-fr.com",1
"La Poste: colis non distribué. Frais de réexpédition 2.50€",1
"URGENT! Votre colis attend. Payez 2€ maintenant: http://bit.ly/abc123",1
"TNT: votre colis nécessite un complément d'affranchissement de 1.80€",1
"Point Relais: votre colis expire demain. Récupération urgente",1
"GLS Express: adresse incomplète. Mettez à jour vos informations",1
"Votre compte bancaire sera bloqué dans 24h. Confirmez: http://secu-banque.fr",1
"ALERTE BNP: connexion suspecte. Vérifiez: bnp-securise.com/verif",1
"Crédit Agricole: opération à valider. Authentifiez-vous: ca-secure.click",1
"Société Générale: carte bloquée. Débloquez: http://sg-debloq.net",1
"LCL: virement 2450€ en attente. Confirmez: https://lcl-valid.fr",1
"CB désactivée. Réactivez: bit.ly/cb-reactiv",1
"Boursorama: transaction 890€ suspecte. Bloquez: boursorama-fr.net",1
"Banque Populaire: identifiez-vous sous 24h: bp-secure.com",1
"Caisse Epargne: carte bancaire bloquée. Cliquez: ce-debloquer.net",1
"Compte bloqué pour raison de sécurité. Confirmez identité: http://bit.ly/sec-bank",1
"Votre compte bancaire sera bloqué. Confirmez vos infos: http://secure-bank.ru",1
"ALERTE SECURITE: Connexion suspecte détectée. Changez mot de passe ici",1
"URGENT: Carte bancaire expirée. Renouvelez maintenant",1
"Votre virement de 890€ est en attente de validation",1
"Paypal: Activité inhabituelle. Confirmez identité immédiatement",1
"HSBC: prélèvement douteux de 1250€. Bloquez immédiatement",1
"ING Direct: accès limité. Réactivez votre compte sous 48h",1
"Monabanq: sécurité renforcée requise. Connectez-vous pour vérifier",1
"Fortuneo: virement suspect en attente de votre validation",1
"Impôts: remboursement 378€ disponible. Réclamez: impots-gouv-remb.fr",1
"CAF: dossier incomplet. Mettez à jour sous 48h: caf-update.fr",1
"Ameli: remboursement 156€ en attente: ameli-rembours.com",1
"Pôle Emploi: nouveau paiement. Actualisez: pole-empl0i.fr",1
"URSSAF: régularisation. Payez 234€: urssaf-pay.net",1
"ANTS: carte grise prête. Frais 1.50€: ants-gouv.click",1
"Service Public: document à valider sous 48h: service-public-fr.net",1
"Remboursement impôts de 450€. Réclamez maintenant sur impots-gouv.net",1
"Amende impayée de 75€. Payez sous 48h sinon majoration",1
"CAF: Vous avez droit à 380€ d'aide. Réclamez vite",1
"Pole Emploi: mise à jour dossier requise sous 72h",1
"Ameli: carte vitale expirée. Renouvelez en ligne",1
"CPAM: vous avez droit à 156€ de remboursement",1
"Mutuelle santé: remboursement de 245€ en attente",1
"SNCF: Remboursement retard de 18€. Demandez-le ici",1
"Préfecture: votre dossier est incomplet. Régularisez: prefecture-fr.click",1
"FÉLICITATIONS! Vous avez gagné 10000€. Réclamez: http://gain-express.fr",1
"Tirage Loto! Prix 5000€. Cliquez: loto-win.net",1
"Cadeau Samsung offert! Derniers iPhone disponibles: samsung-cadeau.fr",1
"Vous avez gagné un voyage aux Maldives! Validez: voyage-gagne.com",1
"PRIX GAGNANT! iPhone 15 Pro offert. Réclamez: iphone-gratuit.net",1
"Carrefour cadeau anniversaire 500€. Réclamez: carrefour-cadeau.click",1
"Félicitations! Vous avez gagné 5000€. Cliquez ici: http://bit.ly/win",1
"Gagnez un iPhone 15 GRATUIT! Participez maintenant",1
"Vous êtes sélectionné pour tester iPhone 15 gratuitement",1
"Tombola Leclerc: 1000€ de bons d'achat à gagner. Inscrivez-vous",1
"Lidl vous offre un panier cadeau. Réclamez dans 24h",1
"Binance: connexion Russie détectée. Sécurisez: https://binance-secu.io",1
"Portefeuille Coinbase gelé. Débloquez: coinbase-unlock.net",1
"Opportunité Bitcoin! Doublez en 7j: crypto-profit.click",1
"Trading garanti 500€/jour. Inscrivez-vous: trading-easy.fr",1
"Investissement crypto 300% retour garanti: invest-crypto.net",1
"Kraken: activité inhabituelle. Vérifiez votre portefeuille maintenant",1
"Netflix: paiement échoué. Mettez à jour: netflix-billing.co",1
"Spotify Premium expire dans 24h. Renouvelez: spotify-renew.fr",1
"Abonnement Apple prolongé 79.99€. Annulez: apple-cancel.net",1
"Microsoft: compte suspendu. Réactivez: microsoft-fr.click",1
"Google: activité suspecte détectée. Vérifiez: google-verify.io",1
"Facebook: compte désactivé. Réactivez: fb-reactivate.net",1
"Instagram: violation des règles. Connectez-vous: instagram-appeal.com",1
"Netflix: Votre abonnement expire. Mettez à jour paiement",1
"Amazon: Problème avec votre commande. Cliquez pour résoudre",1
"Disney+: mise à jour de paiement requise. Cliquez pour continuer",1
"Canal+: facture impayée. Régularisez avant coupure",1
"LinkedIn: votre compte présente une activité suspecte",1
"Nous avons piraté votre téléphone. Payez 500€ en Bitcoin sous 48h",1
"Vos données sont en ligne. Protégez-vous: http://protect-fr.net",1
"Photo intime détenue. Payez en crypto pour suppression",1
"Windows a détecté un virus. Appelez le 08 XX XX XX XX",1
"Votre ordinateur est infecté. Contactez le support Microsoft",1
"Alerte virus: vos données seront effacées dans 1h",1
"Appel de 12€ inclus. Votre forfait Free Mobile est activé",1
"Votre facture EDF impayée. Coupure d'électricité prévue",1
"FreeBox: Votre ligne sera coupée. Régularisez vite",1
"SFR: Dernière facture impayée. Ligne suspendue demain",1
"Telma: ligne sera désactivée. Rechargez: telma-recharge.mg",1
"Orange Money: transfert 500000 Ar en attente: orange-mg.click",1
"Airtel Money: solde crédité. Retirez: airtel-withdraw.mg",1
"Free Mobile: facture impayée. Régularisez: free-facture.net",1
"Bouygues: prélèvement échoué. Cliquez: bouygues-paiement.fr",1
"Engie: coupure de gaz prévue. Payez facture impayée urgent",1
"Pass sanitaire expire. Renouvelez: pass-sanit.fr",1
"Rappel vaccin COVID obligatoire. RDV: vaccin-covid.click",1
"Prime énergie 1500€ disponible. Demandez: prime-energie-2026.fr",1
"Chèque carburant 100€ à récupérer: cheque-carburant.click",1
